country,counts,id,month,year
DK,1,21,7,2016
FR,2,21,8,2016
GB,1,21,8,2016
BE,1,21,8,2016
IT,1,21,8,2016
ES,1,21,8,2016
AU,1,21,9,2016
AR,4,21,10,2016
DE,1,21,10,2016
US,2,21,11,2016
FR,2,21,11,2016
IT,1,21,11,2016
GB,1,21,12,2016
US,1,21,12,2016
IT,1,21,1,2017
FR,2,21,1,2017
US,2,21,1,2017
MX,4,21,1,2017
AR,4,21,2,2017
FR,2,21,2,2017
BR,1,21,2,2017
IT,2,21,2,2017
NZ,2,21,3,2017
US,1,21,3,2017
BR,2,21,3,2017
US,1,21,4,2017
US,2,21,5,2017
AR,2,21,5,2017
ES,1,21,6,2017
IT,1,21,6,2017
US,3,21,7,2017
AU,1,21,9,2017
FR,1,21,9,2017
AR,1,21,9,2017
CH,1,21,9,2017
US,1,21,9,2017
US,2,21,10,2017
AU,2,21,10,2017
UY,1,21,10,2017
NZ,1,21,10,2017
AR,1,21,10,2017
AR,1,21,11,2017
SI,1,21,11,2017
US,2,21,12,2017
AR,1,21,12,2017
NL,1,21,12,2017
CZ,1,21,12,2017
FR,1,21,12,2017
NC,1,21,12,2017
AU,2,21,1,2018
AR,2,21,1,2018
DZ,3,67,11,2014
TN,5,67,11,2014
DE,1,67,12,2014
AR,1,67,12,2014
DE,1,67,1,2015
RU,1,67,5,2015
DE,1,67,5,2015
AR,1,67,11,2015
FR,1,67,4,2016
ZA,1,67,6,2016
AL,1,67,6,2016
FR,1,67,7,2017
FR,1,67,11,2017
DZ,1,73,11,2014
TN,1,73,11,2014
IT,1,73,11,2014
DZ,1,73,5,2015
FR,1,73,1,2017
GB,1,73,5,2012
AR,1,73,3,2013
CH,1,73,8,2014
FR,1,73,11,2014
FR,1,73,12,2016
CH,1,73,1,2017
ES,1,73,6,2017
AL,1,73,11,2014
TN,2,73,11,2014
TV,1,73,11,2014
TN,2,127,11,2014
US,5,127,11,2014
DE,6,127,11,2014
GB,1,127,11,2014
CZ,2,127,11,2014
PL,2,127,11,2014
FR,8,127,11,2014
US,1,127,12,2014
FR,10,127,12,2014
CH,3,127,12,2014
IT,4,127,12,2014
SE,2,127,12,2014
CA,1,127,12,2014
BE,5,127,1,2015
US,4,127,1,2015
FR,6,127,1,2015
CA,2,127,1,2015
DE,2,127,1,2015
TN,4,127,1,2015
NL,3,127,1,2015
FR,6,127,2,2015
CA,1,127,2,2015
US,3,127,2,2015
FI,2,127,3,2015
US,3,127,3,2015
FR,5,127,3,2015
DM,1,127,3,2015
US,5,127,4,2015
IT,2,127,4,2015
NO,3,127,4,2015
FR,8,127,4,2015
TN,1,127,4,2015
EE,3,127,4,2015
BE,2,127,5,2015
FI,1,127,5,2015
FR,5,127,5,2015
RU,1,127,6,2015
CA,1,127,6,2015
US,3,127,6,2015
CH,2,127,6,2015
RU,1,127,7,2015
DE,9,127,7,2015
NO,2,127,7,2015
US,3,127,7,2015
PL,2,127,7,2015
GB,3,127,8,2015
CA,3,127,8,2015
US,5,127,8,2015
FR,8,127,8,2015
PL,2,127,8,2015
US,3,127,9,2015
FR,20,127,9,2015
DE,4,127,9,2015
CH,3,127,9,2015
IE,2,127,9,2015
NO,2,127,9,2015
RU,2,127,10,2015
IT,3,127,10,2015
CA,3,127,10,2015
DE,2,127,10,2015
FR,9,127,10,2015
CH,3,127,10,2015
PT,2,127,10,2015
BE,3,127,11,2015
BR,2,127,11,2015
US,6,127,11,2015
FI,3,127,11,2015
NO,2,127,11,2015
ES,2,127,11,2015
LV,2,127,11,2015
FR,10,127,11,2015
DK,2,127,11,2015
NL,2,127,11,2015
ME,2,127,12,2015
ES,3,127,12,2015
FR,9,127,12,2015
NO,2,127,12,2015
PL,2,127,12,2015
US,2,127,12,2015
US,7,127,1,2016
